ExcerciseName,ResolvesTo,NormalName,MuscleGroup,SecondaryMuscleGroup
Abe Vigoda,Abe Vigoda,Windmill Stretch,Abdominals,
Absolution,,,,
Abyss Merkin,Abyss Merkin,Pushup,Chest,Triceps
Aiken Legs,,,,
Al Gore,,,,
Alabama Ass-Kickers,,,,
Alligator Merkin,,Merkin,Chest,Triceps
Alternating Shoulder Taps,,,,
Alternating Side Squats,,,,
American Hammer,,,Abdominals,
Apollo Creed Burpee,,,,
Apolo Anton Oh No!,,,,
Apolo Ohno,,,,
Apollo Ono,Apolo Ohno,,,
willy mays heys,Willie Mayes Hayes,,,
Austin Ass-kickers,,,,
Australian Mountain Climber,,,,
Australian Snow Angels,,,,
Balls to the Wall,,,,
Bat Wings,,,,
Bear Crawl,,,,
Berkins,,,,
Bernie Sanders,,,,
Big Boy Sit-up-Ups,big boy sit-ups,,Abdominals,
big boy sit-ups,big boy sit-ups,,Abdominals,
Big Boy Sit Ups,big boy sit-ups,,Abdominals,
Blimps,,,,
Blockee,,,,
Boat,Boat,Boat,Abdominals,
Canoe,Boat,Boat,Abdominals,
Bobby Hurley,,,,
Bonnie Blairs,,,,
Boxcutter,,,,
Bulgarian Squats,,,,
Burpee,,,,
Captain Thor,,,,
Captain Sweetums,,,,
Carioca,,,,
Carolina Dry Docks,,,,
Chilcutts,,,,
Chuck Norris Merkins,,Pushup,Chest,Triceps
Copperhead Lunge,,Lunge,Quadriceps,Glutes
Copperhead Merkins,,Pushup,Chest,Triceps
Copperhead Squat,,Squat,Quadriceps,Glutes
CPRs,,,,
Crab Jacks,,,,
Crab Walk,,,,
Crawl Bear,,,,
Crunchy Frog,,,,
Dancing Chilcutt,,,,
Deconstructed Burpees,,,,
Derkin,,,,
Derricks,,,,
Diamond Merkin,,Pushup,Chest,Triceps
Dips,,,,
Dirty Harry,,,,
Dolly,,,,
Donkey Kicks,,,,
Eagle Wings,,,,
El Capitan,,,,
Failure to Launch,,,,
Finger-tip Merkin,,,,
Flutter kicks,,,,
Flying Nun,,,,
Flying Squirrel,,,,
Freddie Mercury,,,,
Gas Pump,,,,
Global Warming,squat,,Quadriceps,Glutes
Grave Diggers,,,,
Groiners,,,,
Ground Pounder,,,,
Gut Busters,,,,
Hairy Rockettes,,,,
Hallelujahs,,,,
Heels to Heaven,,,,
Hillbillies,HillBilly Walkers,,Quadriceps,Glutes
HillBilly Walkers,HillBilly Walkers,,Quadriceps,Glutes
Hillbillie Walkers,HillBilly Walkers,,Quadriceps,Glutes
Imperial Walker,,,,
Inch Worm,,,,
Juggernaut,,,,
Jump Squat,,,Quadriceps,Glutes
LBCs,,,,
LBFCs,,,,
London Bridge,,,,
Manmaker,,,,
Manmaker Merkin,,,,
Merkin,,,,
Merkin Jack,,,,
Merkin Wipes,,,,
Monkey Humpers,,,,
Mosey,,,,
Mountain Climber Merkin,,,,
Mountain Climbers,,,,
Lunge,,Lunge,Quadriceps,Glutes
Murder Bunny,,,,
Murder Hornet,,,,
No Surrender,,,,
Nolan Ryan,,,,
Non-Alternating Shoulder Taps,,Shoulder Taps,Shoulders,
Nutcracker,,,,
One-legged Burpee,,,,
Peter Parker,,,,
Pickle Grinders,,,,
Pickle Pointer,,,,
Pickle Pounder,,,,
Pistol Squats,,,,
Plank Jacks,,,,
Protractor,,,,
Rockette Hillbillies,,,,
Rosalita,,,,
Russian Twist,American Hammer,Russian Twist,Abdominals,
Side-straddle Hops,Side-straddle Hops,Jumping Jacks,Cardio,
Side Straddle Hops,Side-straddle Hops,Jumping Jacks,Cardio,
SSH,Side-straddle Hops,Jumping Jacks,Cardio,
Smurf Jacks,,,,
Spiderman Merkin,,,,
Squat,,,Quadriceps,Glutes
Squat Thrust,,,Quadriceps,Glutes
Step up,,,,
Suicides,,,,
Superman,,,,
Superman Merkin,,,,
Turkish Get Up,,,,
Ultimate Football,,,,
Ultimate Frisburpee,,,,
Up downs,,,,
Upright Row,,,,
Windmill,,,,
Windshield Wipers,,,,
World War I sit-up,,,,
World War I snow angel,,,,
Ruck,,,,
Cherry Pickers,,,,
Rucking,,,,
Planking,,,,
piano tappers,,,,
grass grabbers,,,,
Thrusters,,,,
bbsu,big boy sit-ups,,Abdominals,
Wall Sits,,,,
growruck,,,,
murder bunnies,,,,
rifle carry,,,,
rifle carries,rifle carry,,,
jailbreak,,,,
Plank,,,,
shoulder taps,,Shoulders,
catfish crawl,,,,
motivators,,,,
michael phelps,,,,
little baby crunches,,,,
armcircles,arm circles,,Shoulders,
arm circles,arm circles,,Shoulders,
arm circles,arm circles,,Shoulders,
learning to fly,,,,
goofballs,,,,
indian run,,,,
franken lifts,,,,
side bends,,,,
curl,,,,
overhead press,,,,
flutterkicks,,,,
goblet squats,,,,
inchworm,,,,
deadlifts,,,,
rows,,,,
skull crusher,,,,
calf raise,,,,
yoga,,,,
chin-ups,,,,
stretching,,,,
box cutter,,,,
lemon squeezer,,,,
willie mays hayes,,,,
burpivators,,,,
learning to phelps,,,,
seal straddle hops,,,,
plank jack groiners,,,,
coupon swings,,,,
pushups,merkin,pushup,Chest,Triceps
pullups,,,,
Box Jumps,,,,
